Date_of_Stay	Bucket	Season
2016-06-26	IJ	Ramadan
2016-06-26	KLZ	Ramadan
2016-06-26	QRSTY	Ramadan
2016-06-27	ABEF	Ramadan
2016-06-27	CDGH	Ramadan
2016-06-27	IJ	Ramadan
2016-06-27	KLZ	Ramadan
2016-06-27	QRSTY	Ramadan
2016-06-28	ABEF	Ramadan
2016-06-28	CDGH	Ramadan
2016-06-28	IJ	Ramadan
2016-06-28	KLZ	Ramadan
2016-06-28	QRSTY	Ramadan
2016-06-29	ABEF	Ramadan
2016-06-29	CDGH	Ramadan
2016-06-29	IJ	Ramadan
2016-06-29	KLZ	Ramadan
2016-06-29	QRSTY	Ramadan
2016-06-30	ABEF	Ramadan
2016-06-30	CDGH	Ramadan
2016-06-30	IJ	Ramadan
2016-06-30	KLZ	Ramadan
2016-06-30	QRSTY	Ramadan
2016-07-01	ABEF	Ramadan
2016-07-01	CDGH	Ramadan
2016-07-01	IJ	Ramadan
2016-07-01	KLZ	Ramadan
2016-07-01	QRSTY	Ramadan
2016-07-02	ABEF	Ramadan
2016-07-02	CDGH	Ramadan
2016-07-02	IJ	Ramadan
2016-07-02	KLZ	Ramadan
2016-07-02	QRSTY	Ramadan
2016-07-03	ABEF	Ramadan
2016-07-03	CDGH	Ramadan
2016-07-03	IJ	Ramadan
